UGT2A1	-9.07737181634461
NWD1	-8.88442017962959
SNTG1	-8.36572742672379
PPARGC1A	-8.3652268274653
SPOCK1	-8.23780220061257
WFIKKN2	-8.18803721161022
ATP2B2	-7.98685589559641
GPC6	-7.97978630790313
ADHFE1	-7.95579040825288
INSR	-7.90655838989818
KDR	-7.83461964349133
CA14	-7.82511576347134
SLC23A2	-7.7070581255528
OPCML	-7.66190328418764
JAK2	-7.54554306225075
LDB2	-7.47799012667848
COX14	-7.41064034033757
HMGN3	-7.39437764694804
SOX2-OT	-7.36067279080631
LMBRD1	-7.31908133713812
GPR155	-7.22367149605406
RAB11FIP2	-7.19510024530673
SLC17A8	-7.06266611397557
SEPP1	-7.01596305807726
TACR3	-7.01164923869937
HRSP12	-7.00199561319707
ESRRG	-6.94741216288417
ACVR1C	-6.92589906430702
GPR85	-6.90039923729215
COL21A1	-6.85112974055791
IDH1	-6.85107022507473
ADAMTS18	-6.81701349467189
SLC4A5	-6.81640601381356
ITPR1	-6.80614844489162
HSD17B4	-6.75054490416627
DCUN1D2	-6.74822372446102
HPGD	-6.71794915809002
GDF11	-6.61718080810848
S1PR1	-6.54882915580379
GPM6A	-6.54849380317368
ABCA5	-6.52298484994322
APPL2	-6.5099660750972
CA2	-6.48213242684873
SERPINF1	-6.45542703402661
ITM2B	-6.42049231351004
EPB41L4B	-6.41227961787636
ITM2A	-6.4060990893058
RTN4	-6.39429250693402
SLC13A4	-6.37137623097951
SLC25A27	-6.35262567016237
MPC1	-6.32570318485061
TDRD3	-6.3027965525388
LMO3	-6.29637928148884
TMEM50B	-6.2897506094192
SLC22A8	-6.27427716727698
KCNJ13	-6.25875621520176
VWA3A	-6.20535784893257
ZNF204P	-6.19235601933423
PRND	-6.16630621822261
ABCA4	-6.12666992234346
SOSTDC1	-6.11409115663136
MAP3K19	-6.08828468802576
NPR3	-6.07445956870987
SLC25A12	-6.0483833693314
SMARCA2	-6.04183898813164
FOLR1	-6.03681394116189
LUC7L3	-6.01913291237257
GABRA3	-5.97650527785573
GSTM2	-5.96792965632377
SLC5A3	-5.93859601996412
LOC100294145	-5.93267248561347
MED12L	-5.86995535304552
TMEM14A	-5.85567125440895
FGFR2	-5.83536438642312
SPAG8	-5.82186190551
ARHGAP20	-5.80385168873597
SLC40A1	-5.79075640137574
TMCO3	-5.77999451715068
TTR	-5.77297617255031
HSD17B12	-5.77192664601153
OTX2-AS1	-5.76578298049099
ANXA4	-5.74885204559299
PRKCQ	-5.73376616458497
PDZRN4	-5.72506807248886
NELL2	-5.71474031595959
ACADSB	-5.70470146782747
LOC101927086	-5.69215543639712
STOX1	-5.67569217680345
HLA-DRA	-5.67531302615441
IFIT1	-5.65798357914351
IGFBP5	-5.65039841229402
CDKL2	-5.6464174540841
ALDH6A1	-5.64344504192983
LOC101927249	-5.6121618959132
FCHSD2	-5.59771511393266
RABGAP1L	-5.56187522319258
FGD4	-5.54651055538421
CACNA2D3	-5.52682969616716
SCML1	-5.51185952175231
ATP11C	-5.48949748462994
SLC20A2	-5.48010022889054
CTSK	-5.47448487780206
SERINC5	-5.46435498351871
RAB3IP	-5.4181307409855
MMS22L	-5.41405775606865
CCSAP	-5.40922973871387
TRPM3	-5.40520875280515
OCLN	-5.39980745557593
DNAH11	-5.39205770863682
SLC15A2	-5.39166731470754
SPTLC3	-5.38390524057241
GALNT5	-5.36064656276554
SLC39A12	-5.35207608353345
